1;Ü01;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Licht vorne geht nicht, Abblendlicht VL n.i.O.;;;Unterbrechung auf Plusleitung von linken Abblendlicht E104 Pin 2 nach SG A192 Pin 7;Multimeter
2;Ü01;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Rückfahrlicht ohne Funktion, Rückfahrlicht links n.i.O.;;;Unterbrechung auf Plusleitung von linken Rückfahrlicht M16 Pin 3 nach SG J519 Pin 28;Multimeter, Rechtslenker im Stromlaufplan beachten, Rückwärtsgang ein/aus
3;Ü02;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Beleuchtung hinten defekt, Schlusslicht re. leuchtet schwach, n.i.O.;;;Übergangswiderstand auf Plusleitung von rechten Schlusslicht M22 Pin 1 nach SG J519 Pin 26. Spannungsverlust von $1,15~V$.;Oszi, Multimeter, Brems- und Schlusslicht ist eine Einfaden-Glühlampe, PWM-Signal $\to$ Oszi messen
4;Ü02;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Beleuchtung vorne geht nicht, Standlicht links n.i.O.;;;Unterbrechung auf Zuleitung von linken Standlicht E5 Pin 2 nach SG A192 Pin 45;Multimeter, Ersatzwert von SG (Blinklicht VL an normal) wenn Standlicht def., Bauteilprüfung oder Quertausch
5;Ü03;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Kraftstoffverbrauch zu hoch;i.O.;Kühlmitteltemperatur $5^\circ\text{C}$;Übergangswiderstand auf Signalleitung von Kühlmitteltemperaturgeber G62 Pin 1 nach SG J623 Pin 38. Spannungsverlust von $2,8~V$.;Multimeter, NTC Kühlmitteltemperaturgeber, ($U_K$ SG) Istwert = Sollwert ($U_K$ Sensor), Referenzspannung am SG messen Strecker trennen
6;Ü04;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Kraftstoffverbrauch zu hoch;i.O.;Ansauglufttemperatur $-40^\circ\text{C}$;Unterbrechung auf Signalleitung von Ansauglufttemperatursensor B6217 Pin 1 nach SG A2249 Pin 57. Referenzspannung ist mit Messung 1 als i.O. zu bewerten.;Multimeter, NTC - Ansauglufttemperatursensor, ($U_K$ SG) Istwert = Sollwert ($U_K$ Sensor)
7;Ü04;BMW 344 E36, 1997, Motor-Nr.: 164E2;Kraftstoffverbrauch zu hoch;i.O.;Ansauglufttemperatur $1^\circ\text{C}$;Übergangswiderstand auf Signalleitung von Ansauglufttemperatursensor B6233 Pin 4 nach SG A6000 Pin 77. Spannungsverlust von $1,9~V$.;Multimeter, NTC Ansauglufttemperatursensor, ($U_K$ SG) Istwert = Sollwert ($U_K$ Sensor)
8;Ü05;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Nimmt schlecht Gas an;n.i.O.;Fahrpedalsensor1 0,0 mV, Fahrpedalsensor2 i.O.;Unterbrechung auf Signalleitung von Fahrpedalsensor 1 G79 Pin 4 nach SG J623 Pin 77;Oszi, Multimeter, Poti Fahrpedalsensor, Durchgangsprüfung und Masseschlussprüfung Signalleitung
9;Ü06;BMW 344 E36, 1997, Motor-Nr.: 164E2;Bockt beim Gas geben;i.O.;Drosselklappenpositionssensor 2,08 bis 2,98 V;Übergangswiderstand auf Plusleitung von Drosselklappenpositionssensor R6252 Pin 1 nach SG A6000 Pin 59. Übergangswiderstand Masseleitung von Drosselklappenpositionssensor R6252 Pin 3 nach Masse-Verteiler X8005 Pin 5. Spannungsverlust gesamt $4~V$.;Oszi, Multimeter, Poti Drosselklappenpositionssensor
10;Ü06;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Schlechte Gasannahme;Fahrpedalsensor 1 und 2 - Signal zu niedrig;Sensor D 0 \%;Übergangswiderstand auf Plusleitung von Gaspedalstellungsgeber G79 Pin 2 nach SG J623. Spannungsverlust von $2,4~V$.;Oszi, Cipos Fahrpedalsensor, Cipos (Hella berührungslos arbeitet nur wenn volle Versorgungsspannung anliegt)
11;Ü07;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Motor springt verzögert an;Nockenwellensensor;Nockenwellendrehzahl $0~min^{-1}$;Unterbrechung auf Signalleitung von Nockenwellengeber G40 Pin 2 nach SG J623 Pin 59.;Oszi, Hallgeber Nockenwellensensor, Gutbild Hallgeber Sollwert: Rechtecksignal ($+5/12~V$), PWM + Diodenprüflampe || bei Signalleitungsbruch, Referenz auf Oszi-Signalbild (Sollwert)
12;Ü07;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Motor springt gar nicht an;Nockenwellensensor;Nockenwellendrehzahl $0~min^{-1}$;Unterbrechung auf Signalleitung von Nockenwellengeber B6219 Pin 2 nach SG A2249 Pin 62. Plusschlussprüfung steuergeräteseitig nicht durchführbar, da Stecker nicht trennbar.;Oszi, Hallgeber Nockenwellensensor, Gutbild Hallgeber Sollwert: Rechtecksignal ($+5/12~V$)
13;Ü08;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Springt verzögert an und Lüfter läuft die ganze Zeit;Abgastemperaturgeber 3 - Kurzschluss nach Masse;Abgastemperaturgeber 3 $900^\circ\text{C}$;Masseschluss auf Signalleitung von SG J623 Stecker T94 Pin 32 nach Abgastemperaturgeber G495.;Multimeter, PTC Abgastemperaturgeber, Am Ziel anfangen mit messen, Bosch-Info / Handbücher / Fahrzeug Widerstandswerte
14;Ü08;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Springt extrem schlecht an;Nockenwellensensor A - Signal zu hoch;;Übergangswiderstand auf Masseleitung von SG J623 Stecker T60 Pin 54 nach Nockenwellensensor G40 Stecker T3d Pin 3. Spannungsverlust von $2,9~V$;Oszi, Multimeter, Hallgeber Nockenwellensensor, Referenzspannung ($\text{U}_\text{Ref}$) am SG messen bei Übergangswiderstand ($\text{R}_\text{ü}$). (Stecker trennen)
15;Ü09;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Nimmt kein Gas an;Drosselklappenpoti - Signal zu hoch, Drosselklappenpoti 2 - Signal zu hoch;Drosselklappenpoti 98 \%, Drosselklappenpoti 2 98 \%;Unterbrechung auf Masseleitung von SG J623 Stecker T60 Pin 44 nach Drosselklappensteuereinheit Stecker T6x Pin 6;Multimeter, Poti Drosselklappenpoti
16;Ü09;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Motor springt nicht an;Nockenwellensensor - Signal fehlerhaft;;Leitungsunterbrechung Plusversorgung von Sicherung F1 A8682 Stecker X8582 nach Nockenwellensensor B6219 Stecker X6219 Pin 1;Oszi, Multimeter, Hallgeber Nockenwellensensor, PWM
17;Ü09;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;MIL an, hoher Kraftstoffverbrauch;Kühlmitteltemperatursensor - Signal zu hoch;Kühlmitteltemperatursensor $108^\circ\text{C}$;Unterbrechung auf Signalleitung von Kühlmitteltemperatursensor G62 Pin 1 nach J623 Stecker T60 Pin 38;Oszi, Multimeter, NTC Kühlmitteltemperatursensor
18;Ü10;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;keine Leistung;LMM Bank 2 Funktion fehlerhaft;Ansaugluft: i.O., Luftmasse: n.i.O.;Unterbrechung auf Signalleitung von HFM5 B6217 Pin 5 nach SG A2249 Pin 55.;Oszi, Multimeter, Heißfilm-Luftmassenmesser HFM5 analog + Ansauglufttemperatur, Bosch / Handbücher / Funktionsgruppen - Prüfung / Sollwerte + Pin-Belegung für Schaltplan, LMM Signal $1 - 5~V$ und Bauteilprüfung Nullluftmessung $1~V$
19;Ü10;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Keine Leistung;LMM Signal unplausibel;Ansauglufttemperatur: nicht verfügbar;Unterbrechung auf Signalleitung von SG J623 Pin 22 nach Ansauglufttemperatur G70 Pin 23;Oszi, Multimeter, Ansauglufttemperatur, Heißfilm-Luftmassenmesser HFM6 Signal digital (prüfbar wie Hallgeber), Nullluftmessung HFM6 Signal digital (Soll: $1,76 - 1,93~\text{kHz}$), Bosch / Handbücher / Funktionsgruppen - Prüfung / Sollwerte + Pin-Belegung für Schaltplan, PWM + Diodenprüflampe || bei Signal Leitungsbruch
20;Ü10;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Ruckeln beim Beschleunigen;Ladedrucksensor - Signal zu hoch;Ladedruck: verändert sich nicht;Unterbrechung auf Signalleitung von Ladedrucksensor G31 Pin 4 nach SG J623 Pin 39.;Oszi, Multimeter, Ladedrucksensor, hat kein LMM verbaut, Sonderfall Ladedrucksensor: Leitungsunterbrechung $\to$ bei einer Spannungsfallmessung auf Signalleitung (Istwert: $U_\text{v} = 3,8~V$) ist kein Spannungsfall, Gegentest: Durchgangsprüfung Signalleitung (Sollwert: $< 1 \Omega$)
21;Ü11;BMW 344 E36, 1997, Motor-Nr.: 164E2;Keine Gasannahme;Luftmengenmesser - Signal zu hoch;Luftmengenmesser: $5~V$, Ansauglufttemperatur: $0^\circ\text{C}$;Unterbrechung auf Signalleitung von SG A6000 Pin 41 nach Luftmengenmesser B6233 Pin 2. Übergangswiderstand auf Signalleitung von SG A6000 Pin 77 und Ansauglufttemperatur B6233 Pin 4.;Oszi, Multimeter, Luftmengenmesser + Ansauglufttemperatur, Gutmann: Fahrzeuginformation / Bauteilprüfwerte, Luftmengenmesser $\to$ Oszi messen (Stauscheibe bewegen)
22;Ü12;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Schlechte Leistung;Ladedruckregelventil Turbo 1 Unterbrechung;;Unterbrechung auf Steuerleitung von SG J623 Stecker T60 Pin 52 nach Ladedruckregelventil N75 Pin 2.;"Stellgliedtest: N75 Abgasturbolader: n.i.O., Multimeter, Ladedruckregelventil, Druckwandler - VTG-Lader $\to$ Leitschaufeln, Bosch / Suche Beanstandung: ""schlechte Leistung"" / Aktor-Auswahl / Prüfablauf, keine Sollwerte: ""nach Angabe"", Gutmann-Tester: Aktor nicht ansteuerbar über Stellgliedtest (Dioden-Prüflampe parallel), Standmotor - Bedienteil Zündung Ein + Fahrgeschwindigkeit 0 km/h stellen"
23;Ü13;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Schlechte Leistung;Ladedruckregelventil A Funktion fehlerhaft;;Unterbrechung Steuerleitung von SG J623 Stecker T60 Pin 3 nach Ladedruckregelventil N75 Pin 2.;Stellgliedtest: N75 Abgasturbolader: n.i.O., Multimeter, Ladedruckregelventil, Diodenprüflampe ||
24;Ü13;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Springt nicht an;Raildruckregelventil (DRV) Funktion fehlerhaft;Raildrucksensor 0 bar;Unterbrechung auf Versorgungsleitung von Raildruckregelventil B2262 Stecker X2262 Pin 1 nach Sicherung F1 (A8682) Stecker 2051;Stellgliedtest: vom Tester nicht möglich $\to$ Signal am SG mit Oszi messen, Oszi, Multimeter, Raildruckregelventil
25;Ü14;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;MIL an;Drosselklappensensor - Kurzschluss nach Plus;Drosselklappenpositionssensor: 100\%;Unterbrechung auf Signalleitung von SG J623 Pin 11 nach Drosselklappenposition G69 Pin 2. Die Referenzspannung ist mit Messung 1 als i.O. zu bewerten.;Stellgliedtest: Drosselklappensteuereinheit ansteuern,  Oszi, Multimeter, Drosselklappensteuereinheit, Trick: Diodenprüflampe als Spannungsteiler ca. $2,7~V \to$ Signal muss plausibel für SG sein, SG Signal Soll: $0,5 - 4,5~V$, Zündung aus + Diodenprüflampe am SG anklemmen nach Masse + Zündung an + Stellgliedtest aktivieren (raus und wieder rein)
26;Ü14;BMW E36, 1997, Motor Nr.: 164E2;Läuft komisch, besteht die AU nicht, fängt an zu stottern beim Warmlaufen, Stecker ab von Lambdasonde;Lambda-Regelung außerhalb Bereich, Relaissondenheizung Unterbrechung;Lambdasonde 0,7 V, Lambdaintegrator 80\%;Unterbrechung auf Signalleitung von SG A6000 Pin 70 nach Lambdassonde Pin 2. Plusschluss auf Signalleitung steuergeräteseitig;Oszi, Multimeter, Lambdasonde prüfen: kurze kräftige Gasstöße (Gashebel auf Null stellen vorher)
27;Ü15;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Springt nicht an;Raildrucküberwachung bei Start - Funktion fehlerhaft;Raildrucksensor 70 bar n.i.O.;Übergangswiderstand auf Versorgungsleitung von Raildruckregelventil B2262 Stecker Pin 1 nach Sicherung F1 (A8682) Stecker 2051. Spannungsverlust von $12~V$;Stellgliedtest: vom Tester nicht möglich $\to$ Signal am SG mit Oszi messen, Oszi, Multimeter, Raildruckregelventil, Spannungsfall mit Oszi messen, weil PWM-Signal
28;Ü16;BMW 344 E36, 1997, Motor Nr.: 164E2;Besteht die AU nicht;Relais Sondenheizung Fehler;;Unterbrechung der Steuerleitung von A6000 Pin 37 nach Lambdasonden-Relais Pin 4;Stellgliedtest: n.i.O., Oszi, Multimeter, Relais Sondenheizung, Lambdasonde prüfen - Kurze kräftige Gasstöße (Gashebel auf Null stellen vorher)
29;Ü16;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Springt manchmal an;Nockenwellensensor A - Signal zu hoch;;Übergangswiderstand auf Masseleitung von SG J623 nach Nockenwellen-Sensor G40;Oszi, Nockenwellensensor, Fehlermeldung Signal zu hoch - Achtung: Ursache Schwellwert (ca. $< 2,5~V$) im SG nicht erreicht, PWM
30;Ü16;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Springt an und geht wieder aus;AGR - Kurzschluss nach Masse und Kurbelwellensensor - Signal fehlt;;Übergangswiderstand auf Versorgungsleitung von SG J623 Stecker T60 PIN 58 nach den Komponenten G28, GX5, GX6, GX3. Plusschluss messen nicht durchführbar, da Stecker am Geber G28 nicht trennbar.;Oszi, Multimeter, Kurbelwellensensor und Abgasrückführung (AGR), PWM
31;Ü17;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Leistungsprobleme, läuft schlecht;LMM Bank2 - Funktion fehlerhaft und Ansauglufttemperatur Sensor - Signal fehlerhaft;Luftmasse 1600 mg/Hub und Ansauglufttemperatur 19 °C;Übergangswiderstand in Masseleitung zwischen Steuergerät A2249 Pin 79 und Luftmassenmesser B6217 Pin 3;"Oszi, Multimeter, Luftmassenmesser, Pin-Belegung von LMM = HFM5 analog (Vgl. Oppermann oder Bosch), Achtung: Ein Übergangswiderstand in der Masseleitung hebt die Signalspannung an, (Signal Soll: $1 - 5~V$) und (Ist: $11,5~V$), Trick: Signal messen ""mit Stecker"" und ""ohne Stecker"" $\to$ prüfen ob sich Signalspannung ändert, Sichere Masse am Steuergerät oder Batterie minus, Nullluftmessung $1~V$"
32;Ü18;BMW 344 E36, 1997, Motor Nr.: 164E2;Motor läuft nicht richtig, nur auf 3 Zylinder;Einspritzventil Zylinder 2 Unterbrechung;;Steuerleitungsunterbrechung zwischen Einspritzventil 2 und Steuergerät;Stellgliedtest: Einspritzventil 2 n.i.O., Einspritzventil, Achtung: Fehler im Schaltplan Leitung im Steuergerät vertauscht zwischen Einspritzventil 2 (= Pin 3 am SG)  und 3 (= Pin 31 am SG)
33;Ü19;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Batterie alle drei Tage entladen;;Batterietest: 10,8 V i.O. und Ruhestrommessung: 40 mA i.O.;Übergangswiderstand in der Plusladeleitung zwischen Generator B+  und Batterie Kl. 30;Oszi, Sun VAT60 (Batteriebelastungstest), Generatortest Muster, Maßnahmen: Zündung an + Motor läuft + Generatordrehzahl 6000 U/min = Motordrehzahl 2000 U/min + Belastung: 120 A, Sichtprüfung: Batteriepole fest + Masseband + Ladekontrollleuchte usw., Achtung: Oberwelligkeit i.O. aber Regulierspannung ($< 13~V$) n.i.O. $\to$ dann Erregerstromkreis def.
34;Ü19;BMW 344 E36, 1997, Motor Nr.: 164E2;Mal läuft der Motor unrund;Lambdaregelung - Wert/Signal außerhalb des Bereichs;;Übergangswiderstand zwischen ein Einspritzventil 2 und Steuergerät;Bosch Universal-Oszilloskop, Einspritzventil
35;Ü20;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Springt nicht an;Nockenwellensensor Signal fehlerhaft;;Signalleitungsunterbrechung zwischen Steuergerät A2249 Pin 62 und Hallgeber Nockenwellensensor B6219 Pin 2. Plusschluss kann nicht nachgewiesen werden, da Stecker vom Steuergerät nicht trennbar.;Diodenprüflampe Parallel zur Signalleitung vom Steuergerät zum Sensor, PWM-Signal ($+5~V$)
36;Ü20;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Keine Gasannahme;Fahrpedalsensor 1 + 2 Signal zu niedrig;Fahrpedalsensor 1 + 2 $0,0%$;Übergangswiderstand auf Plusleitung zwischen G79 (Poti1) Pin 2 und Steuergerät J623 Pin 82. Spannungsabfall $2,4~V$. Signalleitungsbruch zwischen G185 (Poti2) Pin 6 und Steuergerät J623 Pin 61.;Cipos Fahrpedalsensor, Messadapter für Fahrpedal, Fahrpedal betätigen
